JSSP FRAMEWORK COMPARISON RESULTS
==================================================

Dataset: swv09
Jobs: 20
Timestamp: 2025-09-24T04:13:46.396789

FRAMEWORK PERFORMANCE SUMMARY
----------------------------------------
OpenAI_Swarm: ✅ Makespan=None, Schedule_Ops=0, Time=27.58s, Status=Success


DETAILED AGENT PROMPTS AND OUTPUTS
==================================================

🔍 OpenAI_Swarm Framework Details:
--------------------------------------------------

📝 Job Scheduler Agent Prompt:
  role: Job Scheduler
  goal: Create initial schedules for all jobs considering precedence constraints.
  backstory: You are a job scheduling agent responsible for creating initial schedules for all jobs in Job Shop Scheduling Problems.
  query: Create initial schedules for 20 jobs with their respective steps.

Dataset: swv09
Number of jobs: 20
Number of machines: 15

Job Specifications:

Job1:
  Step 1: Machine Machine5, Duration 8
  Step 2: Machine Machine3, Duration 73
  Step 3: Machine Machine0, Duration 69
  Step 4: Machine Machine2, Duration 38
  Step 5: Machine Machine6, Duration 6
  Step 6: Machine Machine4, Duration 62
  Step 7: Machine Machine1, Duration 78
  Step 8: Machine Machine9, Duration 79
  Step 9: Machine Machine8, Duration 59
  Step 10: Machine Machine13, Duration 77
  Step 11: Machine Machine11, Duration 22
  Step 12: Machine Machine10, Duration 80
  Step 13: Machine Machine12, Duration 58
  Step 14: Machine Machine14, Duration 49
  Step 15: Machine Machine7, Duration 48
Job2:
  Step 1: Machine Machine3, Duration 34
  Step 2: Machine Machine4, Duration 29
  Step 3: Machine Machine2, Duration 69
  Step 4: Machine Machine0, Duration 5
  Step 5: Machine Machine5, Duration 63
  Step 6: Machine Machine1, Duration 82
  Step 7: Machine Machine6, Duration 94
  Step 8: Machine Machine14, Duration 17
  Step 9: Machine Machine11, Duration 94
  Step 10: Machine Machine9, Duration 29
  Step 11: Machine Machine10, Duration 5
  Step 12: Machine Machine13, Duration 75
  Step 13: Machine Machine7, Duration 15
  Step 14: Machine Machine8, Duration 61
  Step 15: Machine Machine12, Duration 61
Job3:
  Step 1: Machine Machine1, Duration 52
  Step 2: Machine Machine2, Duration 30
  Step 3: Machine Machine0, Duration 25
  Step 4: Machine Machine6, Duration 17
  Step 5: Machine Machine3, Duration 46
  Step 6: Machine Machine4, Duration 86
  Step 7: Machine Machine5, Duration 3
  Step 8: Machine Machine14, Duration 70
  Step 9: Machine Machine11, Duration 34
  Step 10: Machine Machine9, Duration 23
  Step 11: Machine Machine10, Duration 68
  Step 12: Machine Machine13, Duration 76
  Step 13: Machine Machine8, Duration 53
  Step 14: Machine Machine12, Duration 71
  Step 15: Machine Machine7, Duration 9
Job4:
  Step 1: Machine Machine2, Duration 50
